	French	English
Audio_error	...Erreur du signal...	...Signal error...
null		
Text_ModeEmploi	Mode d'emploi	Instruction manual
Text_ModeEmploi_1a	Les clés de séquences	The sequence keys
Text_ModeEmploi_1b	Ce module sert à déverrouiller des portes pour accéder à certaines parties du complexe.	This module is used to unlock doors to access certain parts of the complex.
Text_ModeEmploi_1c	Pour ouvrir les portes avec cet outil, il faut répéter l’ordre donné par la porte. 	To open doors with this tool, repeat the command given by the door. 
Text_ModeEmploi_2a	Le D-pad	The D-pad
Text_ModeEmploi_2b	Les flèches permettent de changer la sélection dans différents menus comme la carte ou l’explorateur de fichiers, et le bouton central sert à valider votre sélection.	The arrows are used to change your selection in various menus, such as the map or file explorer, and the central button is used to confirm your selection.
Text_ModeEmploi_3a	L’Explorateur de fichiers	The File Explorer
Text_ModeEmploi_3b	Ce bouton permet de passer de la carte à l’explorateur de fichiers.	This button switches from the map to the file explorer.
Text_ModeEmploi_3c	Appuyer une nouvelle fois pour le fermer.	Press again to close it.
Text_ModeEmploi_4a	Le Récepteur audio	The Audio receiver
Text_ModeEmploi_4b	Cet écran visualise les sons sortants de votre appareil. C’est par ce moyen qu’ELS-4 vous contactera.	This screen displays the sounds coming from your device. This is how ELS-4 will contact you.
Text_ModeEmploi_5a	La Molette	The Thumbwheel
Text_ModeEmploi_5b	La molette sert à ajuster des signaux sinusoïdaux reçus par votre appareil.	The thumbwheel is used to adjust sinusoidal signals received by your device.
Text_ModeEmploi_6a	Le Pavé numérique	The Keypad
Text_ModeEmploi_6b	Il sert à effectuer certaines tâches qui nécessitent une suite de chiffres précise, il permet aussi de rentrer un code si besoin.	It is used to perform certain tasks requiring a precise sequence of digits, and also to enter a code if required.
Text_ModeEmploi_7a	Les Diodes	The LEDs
Text_ModeEmploi_7b	Elles symbolisent votre avancée dans vos tâches de la journée.	They symbolize your progress in the day's tasks.
null		
Text_LaCarte	La Carte	The Map
Text_LaCarte_1	Votre moniteur dispose d'une carte interactive qui vous servira à vous déplacer au sein de la base. Si un problème survient, une pastille rouge clignotera sur l'endroit concerné. Vous pouvez vous déplacer avec les flèches directionnelles et valider l’endroit où vous souhaitez vous rendre avec le bouton central.	Your monitor features an interactive map that you can use to navigate around the base. If there's a problem, a red dot will flash on the location concerned. You can move around using the directional arrows, and validate the location you wish to go to using the central button.
null		
Text_FileExplorer	L’Explorateur de fichiers	The File Explorer
Text_FileExplorer_1	Déplacez-vous de dossiers en dossiers et de fichiers en fichiers grâce aux flèches directionnelles et validez avec le bouton central ou la flèche de droite.	Use the arrow keys to move from folder to folder and from file to file, then press the central button or right arrow to confirm.
Text_FileExplorer_2	Retournez au dossier ou fichier précédent grâce à la flèche de gauche.	Use the left arrow to return to the previous folder or file.
Text_FileExplorer_3	Ce navigateur peut comporter différents types de fichiers et de dossiers.	This browser can contain different types of files and folders.
Text_FileExplorer_4	L’accès à certains dossiers pourrait vous être refusé si vous n’avez pas l’accréditation nécessaire.	Access to certain files may be denied if you do not have the necessary accreditation.
Text_FileExplorer_5	Il se peut que les données de certains fichiers soient corrompues, leur visibilité pourraient être désactivées jusqu’à leur restauration.	Some files may be corrupted, and their visibility may be disabled until they are restored.
null		
Folder_Logiciel	Logiciels	Softwares
Folder_Moniteur	Moniteur	Monitor
Folder_Entries	Entrées	Entries
Folder_Security	Sécurité	Safety
null		
Text_AudioReceptor	Récepteur de signal	Signal receiver
Text_AudioReceptor_1	Ce module permet de recevoir différents types de signaux.	This module can receive various types of signal.
